cv_id,job_id,job_title,company,industry,language_detected,required_experience_years,required_education,semantic_score_percent,keyword_score_percent,improvement_percent,semantic_rank_for_cv,keyword_rank_for_cv,semantic_skills_score_percent,semantic_experience_score_percent,semantic_education_score_percent
CV100,IT00003,DevOps Engineer,Company Not Specified,Information Technology,bilingual,4,Bachelor,44.5,11.95,32.55,3,4,25.92,58.21,54.23
CV100,IT00004,Mobile Developer (Android),Company Not Specified,Information Technology,bilingual,3,Bachelor,40.49,11.82,28.67,8,5,22.97,51.15,54.23
CV100,IT00005,Data Engineer,Company Not Specified,Information Technology,bilingual,3,Bachelor,35.62,9.34,26.28,16,7,9.57,52.37,54.23
CV100,IT00006,QA Automation Engineer,Company Not Specified,Information Technology,bilingual,2,Bachelor,37.05,14.34,22.71,13,3,13.18,52.34,54.23
CV100,IT00007,Cybersecurity Analyst,Company Not Specified,Information Technology,bilingual,3,Bachelor,35.95,5.26,30.69,14,20,22.79,39.98,54.23
CV100,IT00008,UI/UX Designer,Company Not Specified,Information Technology,bilingual,3,Bachelor,42.87,10.1,32.77,4,6,26.77,53.29,54.23
CV100,IT00009,IT Support Specialist,Company Not Specified,Information Technology,bilingual,1,Diploma,41.33,5.95,35.38,7,15,26.73,49.47,54.24
CV100,IT00010,Product Manager (Tech),Company Not Specified,Information Technology,bilingual,5,Bachelor,42.48,8.25,34.23,6,9,29.93,49.15,54.23
CV100,FN00001,Financial Analyst,Company Not Specified,Finance,bilingual,3,Bachelor,29.93,7.07,22.86,24,11,14.76,32.96,54.23
CV100,FN00002,Senior Risk Management Officer,Company Not Specified,Finance,bilingual,5,Bachelor,33.43,4.97,28.46,20,22,17.76,38.69,54.23
CV100,FN00003,Investment Banking Associate,Company Not Specified,Finance,bilingual,4,Master,27.2,2.71,24.49,31,31,16.2,36.92,29.76
CV100,FN00004,Akuntan Pajak Senior,Company Not Specified,Finance,bilingual,4,Bachelor,31.35,5.57,25.78,22,18,19.4,31.87,54.23
CV100,FN00005,Treasury Manager,Company Not Specified,Finance,bilingual,6,Bachelor,29.56,3.34,26.22,25,28,13.3,33.49,54.23
CV100,FN00006,Junior Auditor,Company Not Specified,Finance,bilingual,1,Bachelor,34.25,6.87,27.38,18,12,19.95,38.56,54.23
CV100,FN00007,Marketing Loan Officer,Company Not Specified,Finance,bilingual,2,Bachelor,26.09,4.23,21.86,32,27,5.35,32.76,54.23
CV100,FN00008,Compliance Officer,Company Not Specified,Finance,bilingual,4,Bachelor,29.47,5.02,24.45,26,21,8.38,38.18,54.23
CV100,FN00009,Financial Planning Analyst,Company Not Specified,Finance,bilingual,3,Bachelor,42.73,4.37,38.36,5,25,35.51,44.2,54.23
CV100,FN00010,Branch Manager,Company Not Specified,Finance,bilingual,7,Bachelor,29.24,6.65,22.59,27,14,17.06,28.93,54.23
CV099,jd-0001,Software Engineer,PT Teknologi Maju,Information Technology,bilingual,2,S1 Ilmu Komputer / Bachelor of Computer Science,28.08,3.69,24.39,27,24,11.53,30.28,56.8
CV099,jd-0002,Data Analyst,PT Keuangan Nusantara,Finance,bilingual,1,S1 Statistika / Matematika / Ilmu Komputer,26.74,3.79,22.95,30,22,17.97,31.51,34.76
CV099,MK00001,Digital Marketing Specialist,Company Not Specified,Marketing,bilingual,2,Bachelor,52.35,21.54,30.81,5,3,43.05,61.83,51.99
CV099,MK00002,Brand Manager,Company Not Specified,Marketing,bilingual,5,Bachelor,48.04,13.05,34.99,8,5,42.66,51.44,51.99
CV099,MK00003,Social Media Manager,Company Not Specified,Marketing,bilingual,3,Bachelor,52.82,20.18,32.64,4,4,46.35,59.7,51.99
CV099,MK00004,Performance Marketing Lead,Company Not Specified,Marketing,bilingual,6,Bachelor,53.35,11.92,41.43,3,6,45.34,62.03,51.99
CV099,MK00005,Content Marketing Strategist,Company Not Specified,Marketing,bilingual,3,Bachelor,59.43,29.01,30.42,1,2,47.57,75.01,51.99
CV099,MK00006,Trade Marketing Executive,Company Not Specified,Marketing,bilingual,2,Bachelor,49.01,6.06,42.95,7,11,46.17,50.35,51.99
CV099,MK00007,Marketing Communications Manager,Company Not Specified,Marketing,bilingual,5,Bachelor,46.11,9.92,36.19,11,7,43.83,45.44,51.99
CV099,MK00008,SEO Specialist,Company Not Specified,Marketing,bilingual,2,Bachelor,57.43,29.47,27.96,2,1,51.59,65.99,51.99
CV099,MK00009,Customer Experience Manager,Company Not Specified,Marketing,bilingual,5,Bachelor,46.13,4.67,41.46,10,17,39.62,49.71,51.99
CV099,MK00010,Growth Marketing Analyst,Company Not Specified,Marketing,bilingual,2,Bachelor,50.91,9.01,41.9,6,9,40.75,60.54,51.99
CV099,IT00001,Backend Engineer,Company Not Specified,Information Technology,bilingual,3,Bachelor,35.38,3.06,32.32,15,27,18.29,44.16,51.99
CV099,IT00002,Frontend Developer,Company Not Specified,Information Technology,bilingual,2,Bachelor,33.8,6.11,27.69,17,10,10.64,47.86,51.99
CV099,IT00003,DevOps Engineer,Company Not Specified,Information Technology,bilingual,4,Bachelor,28.4,4.65,23.75,26,18,10.41,34.59,51.99
CV099,IT00004,Mobile Developer (Android),Company Not Specified,Information Technology,bilingual,3,Bachelor,30.46,5.03,25.43,22,15,13.41,36.74,51.99
CV099,IT00005,Data Engineer,Company Not Specified,Information Technology,bilingual,3,Bachelor,30.39,3.51,26.88,23,25,9.41,40.56,51.99
CV099,IT00006,QA Automation Engineer,Company Not Specified,Information Technology,bilingual,2,Bachelor,30.73,2.02,28.71,21,32,7.27,43.55,51.99
CV099,IT00007,Cybersecurity Analyst,Company Not Specified,Information Technology,bilingual,3,Bachelor,26.71,3.4,23.31,31,26,12.31,28.47,51.99
CV099,IT00008,UI/UX Designer,Company Not Specified,Information Technology,bilingual,3,Bachelor,30.78,4.37,26.41,20,19,10.85,40.11,51.99
CV099,IT00009,IT Support Specialist,Company Not Specified,Information Technology,bilingual,1,Diploma,27.33,3.0,24.33,28,28,18.75,25.49,48.15
CV099,IT00010,Product Manager (Tech),Company Not Specified,Information Technology,bilingual,5,Bachelor,47.81,9.19,38.62,9,8,47.38,46.16,51.99
CV099,FN00001,Financial Analyst,Company Not Specified,Finance,bilingual,3,Bachelor,30.27,4.74,25.53,24,16,24.6,25.08,51.99
CV099,FN00002,Senior Risk Management Officer,Company Not Specified,Finance,bilingual,5,Bachelor,24.45,2.82,21.63,32,29,8.69,26.43,51.99
CV099,FN00003,Investment Banking Associate,Company Not Specified,Finance,bilingual,4,Master,27.2,2.49,24.71,29,30,21.98,31.87,28.3
CV099,FN00004,Akuntan Pajak Senior,Company Not Specified,Finance,bilingual,4,Bachelor,33.18,4.18,29.0,18,20,22.33,34.62,51.99
CV099,FN00005,Treasury Manager,Company Not Specified,Finance,bilingual,6,Bachelor,28.55,2.24,26.31,25,31,19.15,26.22,51.99
CV099,FN00006,Junior Auditor,Company Not Specified,Finance,bilingual,1,Bachelor,32.35,5.69,26.66,19,12,19.22,35.65,51.99
CV099,FN00007,Marketing Loan Officer,Company Not Specified,Finance,bilingual,2,Bachelor,37.04,3.91,33.13,13,21,20.72,45.89,51.99
CV099,FN00008,Compliance Officer,Company Not Specified,Finance,bilingual,4,Bachelor,33.89,3.74,30.15,16,23,18.24,40.48,51.99
CV099,FN00009,Financial Planning Analyst,Company Not Specified,Finance,bilingual,3,Bachelor,39.3,5.65,33.65,12,13,36.15,36.1,51.99
CV099,FN00010,Branch Manager,Company Not Specified,Finance,bilingual,7,Bachelor,36.56,5.37,31.19,14,14,36.43,28.98,51.99
CV098,jd-0001,Software Engineer,PT Teknologi Maju,Information Technology,en,2,S1 Ilmu Komputer / Bachelor of Computer Science,34.77,6.12,28.65,18,11,28.04,37.2,43.39
CV098,jd-0002,Data Analyst,PT Keuangan Nusantara,Finance,en,1,S1 Statistika / Matematika / Ilmu Komputer,35.84,6.01,29.83,15,12,35.26,36.19,36.28
CV098,MK00001,Digital Marketing Specialist,Company Not Specified,Marketing,en,2,Bachelor,39.85,15.87,23.98,10,3,19.34,64.15,32.27
CV098,MK00002,Brand Manager,Company Not Specified,Marketing,en,5,Bachelor,42.15,8.3,33.85,9,7,33.73,55.51,32.27
CV098,MK00003,Social Media Manager,Company Not Specified,Marketing,en,3,Bachelor,43.09,12.81,30.28,8,4,33.74,57.85,32.27
CV098,MK00004,Performance Marketing Lead,Company Not Specified,Marketing,en,6,Bachelor,53.28,17.08,36.2,2,2,45.45,71.61,32.27
CV098,MK00005,Content Marketing Strategist,Company Not Specified,Marketing,en,3,Bachelor,47.43,10.03,37.4,5,6,31.39,71.05,32.27
CV098,MK00006,Trade Marketing Executive,Company Not Specified,Marketing,en,2,Bachelor,47.47,5.71,41.76,4,13,47.39,55.14,32.27
CV098,MK00007,Marketing Communications Manager,Company Not Specified,Marketing,en,5,Bachelor,43.23,7.86,35.37,7,8,41.67,50.26,32.27
CV098,MK00008,SEO Specialist,Company Not Specified,Marketing,en,2,Bachelor,37.59,7.61,29.98,13,9,24.76,53.08,32.27
CV098,MK00009,Customer Experience Manager,Company Not Specified,Marketing,en,5,Bachelor,46.59,4.3,42.29,6,16,47.67,52.67,32.27
CV098,MK00010,Growth Marketing Analyst,Company Not Specified,Marketing,en,2,Bachelor,57.07,20.96,36.11,1,1,46.98,79.57,32.27
CV098,IT00001,Backend Engineer,Company Not Specified,Information Technology,en,3,Bachelor,36.55,1.06,35.49,14,32,23.96,51.28,32.27
CV098,IT00002,Frontend Developer,Company Not Specified,Information Technology,en,2,Bachelor,30.45,3.33,27.12,26,23,7.53,52.47,32.27
CV098,IT00003,DevOps Engineer,Company Not Specified,Information Technology,en,4,Bachelor,28.53,2.56,25.97,29,26,15.05,40.14,32.27
CV098,IT00004,Mobile Developer (Android),Company Not Specified,Information Technology,en,3,Bachelor,30.27,3.53,26.74,27,20,17.85,41.68,32.27
CV098,IT00005,Data Engineer,Company Not Specified,Information Technology,en,3,Bachelor,33.64,3.44,30.2,19,21,23.75,44.21,32.27
CV098,IT00006,QA Automation Engineer,Company Not Specified,Information Technology,en,2,Bachelor,24.06,1.62,22.44,31,28,0.32,43.7,32.27
CV098,IT00007,Cybersecurity Analyst,Company Not Specified,Information Technology,en,3,Bachelor,22.93,2.91,20.02,32,24,11.23,29.97,32.27
CV098,IT00008,UI/UX Designer,Company Not Specified,Information Technology,en,3,Bachelor,30.72,3.67,27.05,24,18,19.43,41.23,32.27
CV098,IT00009,IT Support Specialist,Company Not Specified,Information Technology,en,1,Diploma,28.67,2.64,26.03,28,25,20.07,33.13,36.96
CV098,IT00010,Product Manager (Tech),Company Not Specified,Information Technology,en,5,Bachelor,50.98,10.93,40.05,3,5,56.48,54.83,32.27
CV098,FN00001,Financial Analyst,Company Not Specified,Finance,en,3,Bachelor,35.12,4.67,30.45,17,15,34.44,37.22,32.27
CV098,FN00002,Senior Risk Management Officer,Company Not Specified,Finance,en,5,Bachelor,30.59,1.47,29.12,25,31,23.07,37.27,32.27
CV098,FN00003,Investment Banking Associate,Company Not Specified,Finance,en,4,Master,32.44,3.56,28.88,22,19,32.67,37.22,22.41
CV098,FN00004,Akuntan Pajak Senior,Company Not Specified,Finance,en,4,Bachelor,33.12,1.61,31.51,21,29,31.62,35.05,32.27
CV098,FN00005,Treasury Manager,Company Not Specified,Finance,en,6,Bachelor,28.51,1.93,26.58,30,27,22.7,32.44,32.27
CV098,FN00006,Junior Auditor,Company Not Specified,Finance,en,1,Bachelor,33.46,4.8,28.66,20,14,31.66,35.86,32.27
CV098,FN00007,Marketing Loan Officer,Company Not Specified,Finance,en,2,Bachelor,39.8,4.06,35.74,11,17,26.22,57.14,32.27
CV098,FN00008,Compliance Officer,Company Not Specified,Finance,en,4,Bachelor,32.42,1.56,30.86,23,30,25.22,39.7,32.27
CV098,FN00009,Financial Planning Analyst,Company Not Specified,Finance,en,3,Bachelor,39.79,6.86,32.93,12,10,37.44,45.9,32.27
CV098,FN00010,Branch Manager,Company Not Specified,Finance,en,7,Bachelor,35.15,3.35,31.8,16,22,33.95,37.8,32.27
CV097,jd-0001,Software Engineer,PT Teknologi Maju,Information Technology,tl,2,S1 Ilmu Komputer / Bachelor of Computer Science,28.41,4.53,23.88,19,12,24.15,27.1,39.54
CV097,jd-0002,Data Analyst,PT Keuangan Nusantara,Finance,tl,1,S1 Statistika / Matematika / Ilmu Komputer,39.64,7.27,32.37,9,6,29.38,53.42,32.61
CV097,MK00001,Digital Marketing Specialist,Company Not Specified,Marketing,tl,2,Bachelor,17.21,2.55,14.66,32,21,8.77,16.4,35.7
CV097,MK00002,Brand Manager,Company Not Specified,Marketing,tl,5,Bachelor,25.3,4.7,20.6,23,11,20.36,25.04,35.7
CV097,MK00003,Social Media Manager,Company Not Specified,Marketing,tl,3,Bachelor,22.94,2.87,20.07,27,17,22.61,16.9,35.7
CV097,MK00004,Performance Marketing Lead,Company Not Specified,Marketing,tl,6,Bachelor,28.06,2.74,25.32,21,19,29.3,22.99,35.7
CV097,MK00005,Content Marketing Strategist,Company Not Specified,Marketing,tl,3,Bachelor,29.95,2.96,26.99,16,16,27.43,29.59,35.7
CV097,MK00006,Trade Marketing Executive,Company Not Specified,Marketing,tl,2,Bachelor,30.67,2.42,28.25,15,23,36.1,22.72,35.7
CV097,MK00007,Marketing Communications Manager,Company Not Specified,Marketing,tl,5,Bachelor,28.42,4.82,23.6,18,10,31.2,22.0,35.7
CV097,MK00008,SEO Specialist,Company Not Specified,Marketing,tl,2,Bachelor,21.22,2.12,19.1,30,25,19.34,15.87,35.7
CV097,MK00009,Customer Experience Manager,Company Not Specified,Marketing,tl,5,Bachelor,33.71,3.91,29.8,13,14,36.07,30.35,35.7
CV097,MK00010,Growth Marketing Analyst,Company Not Specified,Marketing,tl,2,Bachelor,34.67,2.87,31.8,12,17,32.34,36.49,35.7
CV097,IT00001,Backend Engineer,Company Not Specified,Information Technology,tl,3,Bachelor,28.36,0.49,27.87,20,32,20.11,32.94,35.7
CV097,IT00002,Frontend Developer,Company Not Specified,Information Technology,tl,2,Bachelor,19.81,2.59,17.22,31,20,0.54,31.13,35.7
CV097,IT00003,DevOps Engineer,Company Not Specified,Information Technology,tl,4,Bachelor,24.11,2.03,22.08,26,26,12.51,29.91,35.7
CV097,IT00004,Mobile Developer (Android),Company Not Specified,Information Technology,tl,3,Bachelor,22.5,1.74,20.76,28,29,17.05,21.36,35.7
CV097,IT00005,Data Engineer,Company Not Specified,Information Technology,tl,3,Bachelor,24.87,0.69,24.18,25,31,16.68,27.64,35.7
CV097,IT00006,QA Automation Engineer,Company Not Specified,Information Technology,tl,2,Bachelor,22.2,1.45,20.75,29,30,5.82,31.82,35.7
CV097,IT00007,Cybersecurity Analyst,Company Not Specified,Information Technology,tl,3,Bachelor,29.68,1.94,27.74,17,27,13.61,42.74,35.7
CV097,IT00008,UI/UX Designer,Company Not Specified,Information Technology,tl,3,Bachelor,25.23,3.09,22.14,24,15,13.58,31.65,35.7
CV097,IT00009,IT Support Specialist,Company Not Specified,Information Technology,tl,1,Diploma,26.11,2.47,23.64,22,22,15.9,25.15,48.47
CV097,IT00010,Product Manager (Tech),Company Not Specified,Information Technology,tl,5,Bachelor,40.41,6.05,34.36,8,8,47.14,36.04,35.7
CV097,FN00001,Financial Analyst,Company Not Specified,Finance,tl,3,Bachelor,47.12,10.02,37.1,2,4,40.05,59.9,35.7
CV097,FN00002,Senior Risk Management Officer,Company Not Specified,Finance,tl,5,Bachelor,47.34,10.64,36.7,1,1,32.58,67.91,35.7
CV097,FN00003,Investment Banking Associate,Company Not Specified,Finance,tl,4,Master,38.57,5.08,33.49,10,9,35.74,47.61,26.14
CV097,FN00004,Akuntan Pajak Senior,Company Not Specified,Finance,tl,4,Bachelor,40.9,10.57,30.33,7,2,39.22,45.19,35.7
CV097,FN00005,Treasury Manager,Company Not Specified,Finance,tl,6,Bachelor,44.07,4.12,39.95,6,13,38.88,53.45,35.7
CV097,FN00006,Junior Auditor,Company Not Specified,Finance,tl,1,Bachelor,44.79,9.01,35.78,5,5,39.2,54.93,35.7
CV097,FN00007,Marketing Loan Officer,Company Not Specified,Finance,tl,2,Bachelor,35.89,1.83,34.06,11,28,26.41,45.46,35.7
CV097,FN00008,Compliance Officer,Company Not Specified,Finance,tl,4,Bachelor,45.45,6.28,39.17,4,7,36.99,58.78,35.7
CV097,FN00009,Financial Planning Analyst,Company Not Specified,Finance,tl,3,Bachelor,46.65,10.53,36.12,3,3,41.58,57.2,35.7
CV097,FN00010,Branch Manager,Company Not Specified,Finance,tl,7,Bachelor,31.64,2.21,29.43,14,24,35.79,25.47,35.7
CV096,jd-0001,Software Engineer,PT Teknologi Maju,Information Technology,en,2,S1 Ilmu Komputer / Bachelor of Computer Science,26.19,4.75,21.44,21,10,22.88,23.45,38.31
CV096,jd-0002,Data Analyst,PT Keuangan Nusantara,Finance,en,1,S1 Statistika / Matematika / Ilmu Komputer,39.2,8.05,31.15,6,4,23.74,58.0,32.5
CV096,MK00001,Digital Marketing Specialist,Company Not Specified,Marketing,en,2,Bachelor,18.47,2.27,16.2,32,22,7.75,24.1,28.63
CV096,MK00002,Brand Manager,Company Not Specified,Marketing,en,5,Bachelor,28.63,4.86,23.77,19,9,22.57,34.69,28.63
CV096,MK00003,Social Media Manager,Company Not Specified,Marketing,en,3,Bachelor,24.47,2.18,22.29,24,23,27.91,18.95,28.63
CV096,MK00004,Performance Marketing Lead,Company Not Specified,Marketing,en,6,Bachelor,30.45,2.99,27.46,17,18,31.21,30.59,28.63
CV096,MK00005,Content Marketing Strategist,Company Not Specified,Marketing,en,3,Bachelor,29.33,2.59,26.74,18,21,28.31,30.71,28.63
CV096,MK00006,Trade Marketing Executive,Company Not Specified,Marketing,en,2,Bachelor,30.95,2.87,28.08,16,19,35.78,27.27,28.63
CV096,MK00007,Marketing Communications Manager,Company Not Specified,Marketing,en,5,Bachelor,32.59,4.08,28.51,14,12,37.6,29.55,28.63
CV096,MK00008,SEO Specialist,Company Not Specified,Marketing,en,2,Bachelor,20.13,1.95,18.18,28,24,17.64,18.36,28.63
CV096,MK00009,Customer Experience Manager,Company Not Specified,Marketing,en,5,Bachelor,34.3,4.16,30.14,12,11,40.95,30.48,28.63
CV096,MK00010,Growth Marketing Analyst,Company Not Specified,Marketing,en,2,Bachelor,34.86,3.73,31.13,11,13,29.71,43.13,28.63
CV096,IT00001,Backend Engineer,Company Not Specified,Information Technology,en,3,Bachelor,27.49,0.99,26.5,20,32,23.17,31.24,28.63
CV096,IT00002,Frontend Developer,Company Not Specified,Information Technology,en,2,Bachelor,19.07,1.21,17.86,30,29,1.76,31.61,28.63
CV096,IT00003,DevOps Engineer,Company Not Specified,Information Technology,en,4,Bachelor,23.94,1.73,22.21,25,25,21.04,24.5,28.63
CV096,IT00004,Mobile Developer (Android),Company Not Specified,Information Technology,en,3,Bachelor,19.87,1.71,18.16,29,26,20.99,14.37,28.63
CV096,IT00005,Data Engineer,Company Not Specified,Information Technology,en,3,Bachelor,23.13,1.11,22.02,26,30,15.32,28.18,28.63
CV096,IT00006,QA Automation Engineer,Company Not Specified,Information Technology,en,2,Bachelor,18.67,1.0,17.67,31,31,4.25,28.11,28.63
CV096,IT00007,Cybersecurity Analyst,Company Not Specified,Information Technology,en,3,Bachelor,22.58,1.41,21.17,27,28,7.08,35.06,28.63
CV096,IT00008,UI/UX Designer,Company Not Specified,Information Technology,en,3,Bachelor,25.06,3.47,21.59,23,14,20.48,27.85,28.63
CV096,IT00009,IT Support Specialist,Company Not Specified,Information Technology,en,1,Diploma,26.12,3.45,22.67,22,15,14.69,30.01,41.19
CV096,IT00010,Product Manager (Tech),Company Not Specified,Information Technology,en,5,Bachelor,41.19,6.03,35.16,5,7,47.03,41.63,28.63
CV096,FN00001,Financial Analyst,Company Not Specified,Finance,en,3,Bachelor,44.41,10.36,34.05,2,2,33.05,63.65,28.63
CV096,FN00002,Senior Risk Management Officer,Company Not Specified,Finance,en,5,Bachelor,41.33,3.17,38.16,4,17,29.13,59.89,28.63
CV096,FN00003,Investment Banking Associate,Company Not Specified,Finance,en,4,Master,38.65,6.56,32.09,8,6,36.26,49.52,21.71
CV096,FN00004,Akuntan Pajak Senior,Company Not Specified,Finance,en,4,Bachelor,36.26,8.04,28.22,9,5,35.3,41.04,28.63
CV096,FN00005,Treasury Manager,Company Not Specified,Finance,en,6,Bachelor,42.21,5.22,36.99,3,8,31.34,59.88,28.63
CV096,FN00006,Junior Auditor,Company Not Specified,Finance,en,1,Bachelor,36.06,9.41,26.65,10,3,27.65,48.19,28.63
CV096,FN00007,Marketing Loan Officer,Company Not Specified,Finance,en,2,Bachelor,34.08,2.77,31.31,13,20,22.43,48.46,28.63
CV096,FN00008,Compliance Officer,Company Not Specified,Finance,en,4,Bachelor,38.91,3.39,35.52,7,16,29.16,53.8,28.63
CV096,FN00009,Financial Planning Analyst,Company Not Specified,Finance,en,3,Bachelor,53.81,20.1,33.71,1,1,42.51,77.7,28.63
CV096,FN00010,Branch Manager,Company Not Specified,Finance,en,7,Bachelor,32.55,1.65,30.9,15,27,35.3,31.77,28.63
CV095,jd-0001,Software Engineer,PT Teknologi Maju,Information Technology,bilingual,2,S1 Ilmu Komputer / Bachelor of Computer Science,22.93,1.73,21.2,32,32,5.88,29.44,43.99
CV095,jd-0002,Data Analyst,PT Keuangan Nusantara,Finance,bilingual,1,S1 Statistika / Matematika / Ilmu Komputer,31.02,4.33,26.69,25,25,23.82,39.0,29.44
CV095,MK00001,Digital Marketing Specialist,Company Not Specified,Marketing,bilingual,2,Bachelor,57.23,29.45,27.78,2,1,47.37,73.71,43.97
CV095,MK00002,Brand Manager,Company Not Specified,Marketing,bilingual,5,Bachelor,50.53,15.69,34.84,7,7,51.37,52.97,43.97
CV095,MK00003,Social Media Manager,Company Not Specified,Marketing,bilingual,3,Bachelor,49.07,16.35,32.72,9,6,44.99,55.71,43.97
CV095,MK00004,Performance Marketing Lead,Company Not Specified,Marketing,bilingual,6,Bachelor,56.23,14.29,41.94,3,8,55.23,63.37,43.97
CV095,MK00005,Content Marketing Strategist,Company Not Specified,Marketing,bilingual,3,Bachelor,51.62,19.65,31.97,6,5,39.28,67.79,43.97
CV095,MK00006,Trade Marketing Executive,Company Not Specified,Marketing,bilingual,2,Bachelor,60.95,26.53,34.42,1,2,61.08,69.3,43.97
CV095,MK00007,Marketing Communications Manager,Company Not Specified,Marketing,bilingual,5,Bachelor,47.43,23.18,24.25,10,4,40.94,55.65,43.97
CV095,MK00008,SEO Specialist,Company Not Specified,Marketing,bilingual,2,Bachelor,53.9,23.66,30.24,5,3,41.64,71.13,43.97
CV095,MK00009,Customer Experience Manager,Company Not Specified,Marketing,bilingual,5,Bachelor,45.74,6.24,39.5,11,16,43.98,48.38,43.97
CV095,MK00010,Growth Marketing Analyst,Company Not Specified,Marketing,bilingual,2,Bachelor,55.31,9.82,45.49,4,10,52.98,63.3,43.97
CV095,IT00001,Backend Engineer,Company Not Specified,Information Technology,bilingual,3,Bachelor,36.49,3.68,32.81,14,29,17.05,52.2,43.97
CV095,IT00002,Frontend Developer,Company Not Specified,Information Technology,bilingual,2,Bachelor,31.43,6.15,25.28,23,17,6.7,49.89,43.97
CV095,IT00003,DevOps Engineer,Company Not Specified,Information Technology,bilingual,4,Bachelor,28.37,4.8,23.57,29,22,10.38,38.57,43.97
CV095,IT00004,Mobile Developer (Android),Company Not Specified,Information Technology,bilingual,3,Bachelor,24.05,4.23,19.82,31,26,8.24,29.9,43.97
CV095,IT00005,Data Engineer,Company Not Specified,Information Technology,bilingual,3,Bachelor,31.66,5.74,25.92,22,18,14.72,42.45,43.97
CV095,IT00006,QA Automation Engineer,Company Not Specified,Information Technology,bilingual,2,Bachelor,26.94,4.45,22.49,30,24,6.02,39.35,43.97
CV095,IT00007,Cybersecurity Analyst,Company Not Specified,Information Technology,bilingual,3,Bachelor,29.58,3.37,26.21,28,30,14.43,37.53,43.97
CV095,IT00008,UI/UX Designer,Company Not Specified,Information Technology,bilingual,3,Bachelor,31.32,4.65,26.67,24,23,16.6,39.71,43.97
CV095,IT00009,IT Support Specialist,Company Not Specified,Information Technology,bilingual,1,Diploma,30.3,4.17,26.13,27,27,18.02,35.23,44.98
CV095,IT00010,Product Manager (Tech),Company Not Specified,Information Technology,bilingual,5,Bachelor,49.44,10.61,38.83,8,9,48.3,53.32,43.97
CV095,FN00001,Financial Analyst,Company Not Specified,Finance,bilingual,3,Bachelor,33.58,8.92,24.66,18,11,29.25,32.71,43.97
CV095,FN00002,Senior Risk Management Officer,Company Not Specified,Finance,bilingual,5,Bachelor,30.84,5.1,25.74,26,21,17.95,37.16,43.97
CV095,FN00003,Investment Banking Associate,Company Not Specified,Finance,bilingual,4,Master,35.99,3.33,32.66,15,31,31.3,46.73,23.91
CV095,FN00004,Akuntan Pajak Senior,Company Not Specified,Finance,bilingual,4,Bachelor,31.94,5.65,26.29,20,19,20.47,37.39,43.97
CV095,FN00005,Treasury Manager,Company Not Specified,Finance,bilingual,6,Bachelor,32.66,4.07,28.59,19,28,25.78,33.88,43.97
CV095,FN00006,Junior Auditor,Company Not Specified,Finance,bilingual,1,Bachelor,31.73,6.55,25.18,21,14,21.94,35.41,43.97
CV095,FN00007,Marketing Loan Officer,Company Not Specified,Finance,bilingual,2,Bachelor,41.17,7.45,33.72,12,12,30.02,50.93,43.97
